Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,id_equipe,id_joueur
Aston Villa,Boubacar Kamara,FRA,MF,24,26,20,1726,19.2,1,0,1,1,0,0,2,0.0,0.8,6,178
Aston Villa,Amadou Onana,BEL,MF,22,26,20,1617,18.0,3,0,3,3,0,0,4,0.0,2.1,6,179
Aston Villa,Jacob Ramsey,ENG,"FW,MF",23,29,19,1623,18.0,1,3,4,1,0,0,4,1.0,1.6,6,180
Aston Villa,Leon Bailey,JAM,"FW,MF",26,24,14,1139,12.7,1,2,3,1,0,0,3,0.0,1.7,6,181
Aston Villa,Tyrone Mings,ENG,DF,31,14,12,1120,12.4,0,0,0,0,0,0,1,0.0,0.8,6,182
Aston Villa,Ian Maatsen,NED,DF,22,29,10,1139,12.7,1,2,3,1,0,0,2,0.0,0.9,6,183
Aston Villa,Marco Asensio,ESP,MF,28,13,9,743,8.3,3,1,4,3,0,2,2,0.0,4.4,6,184
Aston Villa,Diego Carlos,BRA,DF,31,10,8,830,9.2,0,0,0,0,0,0,1,0.0,0.6,6,185
Aston Villa,Axel Disasi,FRA,DF,26,7,5,490,5.4,0,0,0,0,0,0,2,0.0,0.1,6,186
Aston Villa,Lamare Bogarde,NED,"DF,MF",20,8,5,476,5.3,0,0,0,0,0,0,2,0.0,0.0,6,187
Aston Villa,Andrés García,ESP,"DF,MF",21,7,5,318,3.5,0,0,0,0,0,0,0,0.0,0.0,6,188
Aston Villa,Jáder Durán,COL,FW,20,20,4,638,7.1,7,0,7,7,0,0,3,1.0,4.9,6,189
Aston Villa,Marcus Rashford,ENG,FW,26,10,4,444,4.9,2,2,4,1,1,1,0,0.0,3.1,6,190
Aston Villa,Ross Barkley,ENG,MF,30,20,3,581,6.5,3,1,4,3,0,0,3,0.0,1.8,6,191
Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22,11,2,332,3.7,0,0,0,0,0,0,4,1.0,0.5,6,192
Aston Villa,Donyell Malen,NED,FW,25,14,2,305,3.4,3,0,3,3,0,0,0,0.0,2.2,6,193
Aston Villa,Robin Olsen,SWE,GK,34,4,1,226,2.5,0,0,0,0,0,0,0,0.0,0.0,6,194
Aston Villa,Kosta Nedeljković,SRB,DF,18,5,0,126,1.4,0,0,0,0,0,0,0,0.0,0.0,6,195
Aston Villa,Emi Buendía,ARG,"MF,FW",27,12,0,98,1.1,0,0,0,0,0,0,1,0.0,0.7,6,196
